GA,pearson_r,spin_p_two_sided,spin_q_BH_16weeks,spin_p_maxT_FWER,independent_hemi_spin_p_sensitivity
23,-0.40845821401455473,0.0877912208779122,0.09705696097056961,0.21107889211078892,0.024697530246975304
24,-0.4386583823928375,0.032296770322967704,0.05167483251674833,0.13508649135086492,0.0038996100389961006
25,-0.5368747243942887,0.0071992800719928,0.0143985601439856,0.020397960203979604,0.0005999400059994001
26,-0.5866344238888535,0.0010998900109989002,0.005866080058660801,0.006299370062993701,9.999000099990002e-05
27,-0.5642615544007734,0.0047995200479952005,0.010970331538274744,0.0103989601039896,0.00019998000199980003
28,-0.6058859350068291,0.0008999100089991,0.005866080058660801,0.0023997600239976003,9.999000099990002e-05
29,-0.5691127745367943,0.0004999500049995,0.005866080058660801,0.0091990800919908,9.999000099990002e-05
30,-0.5127631197440631,0.0028997100289971,0.010970331538274744,0.034096590340965904,0.00019998000199980003
31,-0.46346622711512786,0.0037996200379962005,0.010970331538274744,0.08539146085391461,0.00039996000399960006
32,-0.4496861920759017,0.004399560043995601,0.010970331538274744,0.11308869113088692,0.00029997000299970003
33,-0.29504503774468166,0.06619338066193381,0.09628128096281281,0.6488351164883511,0.023497650234976502
34,-0.3131922787551438,0.023697630236976304,0.04212912042129121,0.5668433156684332,0.006799320067993201
35,-0.23298964205872144,0.0805919408059194,0.09705696097056961,0.8704129587041296,0.052394760523947606
36,-0.3191638882188822,0.09099090090990901,0.09705696097056961,0.5408459154084592,0.023297670232976703
37,-0.28268554257035083,0.0836916308369163,0.09705696097056961,0.6978302169783022,0.024997500249975
38,-0.07390701392654576,0.6767323267673233,0.6767323267673233,1.0,0.5862413758624138
