model,term,std_beta,se,ci95_low,ci95_high,z,p_normal_approx
prospective_baseline_only,Intercept,3.653581081151059e-16,0.10977972019107375,-0.2151682515745042,0.21516825157450492,3.3281020162849107e-15,0.9999999999999973
prospective_baseline_only,curvature1,-0.07678411443551854,0.04314949573585036,-0.16135712607778524,0.007788897206748177,-1.7794904233776054,0.07515939356986259
prospective_baseline_only,fdrad1,0.0026235911833915448,0.035806784350136206,-0.06755770614287541,0.07280488850965851,0.07327078460150988,0.9415906397035666
prospective_baseline_only,ga1,0.3834771376296176,0.04494109400687478,0.29539259337614304,0.47156168188309217,8.532883902891992,1.42743917192803e-17
prospective_baseline_only,delta_ga,0.48690053036027225,0.04432456353627496,0.4000243858291733,0.5737766748913712,10.98489170596786,4.51780094215725e-28
codevelopment_difference,Intercept,-1.8180096642392937e-17,0.10637931932043997,-0.20850346586806237,0.20850346586806232,-1.7089878708125717e-16,0.9999999999999999
codevelopment_difference,curvature1,-0.0794341055665397,0.04187741847681143,-0.1615138457810901,0.0026456346480107085,-1.8968243138130478,0.05785112922945331
codevelopment_difference,fdrad1,-0.2183545026342209,0.053331023674180404,-0.32288330903561446,-0.11382569623282732,-4.0943242336436665,4.234014646133249e-05
codevelopment_difference,delta_fdrad,-0.2799463403386949,0.05028184229319539,-0.37849875123335786,-0.18139392944403196,-5.567543422659751,2.5835570887557795e-08
codevelopment_difference,ga1,0.34680078080049526,0.050912005571978565,0.24701324987941725,0.44658831172157326,6.811768204852861,9.640635623155894e-12
codevelopment_difference,delta_ga,0.41745507175546126,0.051516552407714744,0.3164826290363404,0.5184275144745821,8.103319268176538,5.34796503491577e-16
codevelopment_rate,Intercept,-1.844096181387332e-15,0.1056748227662832,-0.2071226526219169,0.20712265262191323,-1.7450667369140955e-14,0.9999999999999861
codevelopment_rate,curvature1,-0.06596092320031915,0.04216052506783008,-0.1485955523332661,0.016673705932627805,-1.5645185417922984,0.11769584203713102
codevelopment_rate,fdrad1,-0.13208259939979788,0.044860951797343736,-0.22001006492259162,-0.04415513387700416,-2.944266541567641,0.0032372107295253823
codevelopment_rate,rate_fdrad,-0.20282265957498913,0.04118349966386469,-0.28354231891616394,-0.12210300023381433,-4.924852458640133,8.442402933263663e-07
codevelopment_rate,ga1,0.35320020080464043,0.04865781957109683,0.2578308744452906,0.44856952716399023,7.258857957836739,3.903721367343963e-13
codevelopment_rate,delta_ga,0.48699726330458465,0.04772661272000889,0.3934531023733672,0.580541424235802,10.203893290344825,1.9048026640617596e-24
followup_fdrad_equivalent,Intercept,-3.157974602499896e-16,0.10637931896673353,-0.208503465174798,0.2085034651747974,-2.9685982512140767e-15,0.9999999999999977
followup_fdrad_equivalent,curvature1,-0.0794341055280176,0.04187741831710505,-0.1615138454295435,0.0026456343735082877,-1.89682432012702,0.05785112839584997
followup_fdrad_equivalent,fdrad1,0.019570145299420853,0.03509270112855698,-0.04921154891255083,0.08835183951139253,0.5576699618455839,0.5770697729854326
followup_fdrad_equivalent,fdrad2,-0.213491371151934,0.03834570366985464,-0.2886489503448491,-0.1383337919590189,-5.567543446067195,2.5835567418082587e-08
followup_fdrad_equivalent,ga1,0.34680078077311266,0.050912005555297894,0.24701324988472878,0.44658831166149654,6.811768206546808,9.640635509611072e-12
followup_fdrad_equivalent,delta_ga,0.4174550717183316,0.05151655238703512,0.3164826290397428,0.5184275143969205,8.103319270708615,5.347964923561316e-16
