Region Label,Tini_curvature,Inclusion flag,n,ga_min,ga_max,a,amplitude,k,Tini_radiality,SE_Tini_radiality,CI_width_radiality,R2_radiality,p_fit_radiality,p_Tini_radiality,converged,q_fit_radiality,q_Tini_radiality,primary_radiality_pass,strict_radiality_pass,joint_primary_pass,joint_strict_pass,delta_weeks
Precentral_L,24.8434139501039,1,93,22.571428571428573,38.285714285714285,0.6695481402926569,-0.17304979215332109,0.7802146685676776,28.377140551136705,0.38712686359099263,1.5175373052766912,0.8444044991686492,7.73192750816187e-36,2.3153360023147766e-81,True,1.9454527278600835e-35,7.550008703200359e-81,True,True,True,True,-3.5337266010328037
Precentral_R,24.4249674895017,1,93,22.571428571428573,38.285714285714285,0.6753486450664836,-0.18955236241221896,0.6629097406134654,27.970943525650693,0.4373366216330805,1.7143595568016756,0.8332546225855575,1.6711010616237065e-34,3.4526321672250126e-76,True,3.724168080189975e-34,8.929221122133654e-76,True,True,True,True,-3.5459760361489927
Frontal_Sup_L,29.7143355782897,1,93,22.571428571428573,38.285714285714285,0.6715042935628694,-0.16144907256614374,0.8359143183807524,29.253302218129022,0.4037243632659241,1.5825995040024223,0.7949107693770983,1.6334661163417898e-30,6.376507600667689e-81,True,3.18525892686649e-30,1.953182875157096e-80,True,True,True,True,0.46103336016067686
Frontal_Sup_R,29.1776062905636,1,93,22.571428571428573,38.285714285714285,0.6855278792154332,-0.16034742697511212,0.9839156092392392,28.977289959409546,0.34259623669033135,1.3429772478260988,0.8254918239520121,1.2601773934120736e-33,8.129630548919058e-87,True,2.6565901807065335e-33,4.064815274459528e-86,True,True,True,True,0.20031633115405256
Frontal_Sup_Orb_L,30.5005741047911,1,92,22.571428571428573,38.285714285714285,0.5846804502698956,-0.08445543066857857,0.3114626979289682,30.55888549679968,1.820794680048913,7.137515145791739,0.27535717353767764,2.8539677889833317e-06,3.6224251027949666e-29,True,3.049445034804108e-06,4.3124108366606744e-29,True,True,True,True,-0.05831139200858004
Frontal_Sup_Orb_R,31.255154659675,1,92,22.571428571428573,38.285714285714285,0.5747777346006251,-0.043192355130660755,26.572547112183976,33.47339859714251,4.122321768933292,16.159501334218504,0.2899659535304018,1.1931234540743462e-06,2.6348099920040176e-12,True,1.2925504085805418e-06,2.9941022636409293e-12,True,False,True,False,-2.2182439374675127
Frontal_Mid_L,27.7989083148998,1,93,22.571428571428573,38.285714285714285,0.7119898582318435,-0.19003055843862213,1.400454724518477,29.18588827033428,0.22750793114242468,0.8918310900783047,0.8811106943679795,4.98057667975756e-41,8.771914282127982e-103,True,1.6890651348743029e-40,1.6447339278989967e-101,True,True,True,True,-1.3869799554344802
Frontal_Mid_R,27.6043599495684,1,93,22.571428571428573,38.285714285714285,0.711694597736494,-0.20105351141016095,0.7756750713456012,28.59231232003858,0.36581480674279987,1.4339940424317754,0.8547667620304694,3.6219131487435627e-37,8.346397948582838e-84,True,9.416974186733262e-37,3.477665811909516e-83,True,True,True,True,-0.9879523704701789
Frontal_Mid_Orb_L,24.5098911870215,0,93,22.571428571428573,38.285714285714285,0.6620075092550144,-0.15046931654163512,0.3623606481308627,29.319586747869607,0.9194932598233334,3.604413578507467,0.6373154604885451,1.5281941744549683e-19,1.7732514227854218e-50,True,2.0551576828877159e-19,2.607722680566797e-50,True,True,False,False,-4.809695560848109
Frontal_Mid_Orb_R,23.8327286834817,0,93,22.571428571428573,38.285714285714285,0.6598134208517354,-0.16015179838194574,0.3963980810816444,29.46741765627074,0.6975570800356156,2.734423753739613,0.7388187705657623,7.415346768873576e-26,1.1240306372360089e-60,True,1.204993849941956e-25,1.793665910482993e-60,True,True,False,False,-5.634688972789039
Frontal_Inf_Oper_L,26.5085012859027,1,93,22.571428571428573,38.285714285714285,0.6661072627839931,-0.16437726387162307,0.4849413280594174,27.694561960746057,0.6466633983528847,2.5349205215433077,0.765124536522012,6.696794256638483e-28,3.511195983963957e-61,True,1.1607776711506702e-27,5.724776060810799e-61,True,True,True,True,-1.1860606748433575
Frontal_Inf_Oper_R,25.960386604932,1,93,22.571428571428573,38.285714285714285,0.6773722975386922,-0.16271739141847608,0.5059845096781651,26.014668207947718,0.6253808108575734,2.4514927785616876,0.7810312405089817,2.9849692214742473e-29,4.146488512995638e-60,True,5.678721933536373e-29,6.478888301555685e-60,True,True,True,True,-0.05428160301571694
