model,term,std_beta,se,ci95_low,ci95_high,z,p_normal_approx
prospective_baseline_only,Intercept,8.861376192759254e-16,0.11100183844494192,-0.21756360335208527,0.21756360335208705,7.983089574822302e-15,0.9999999999999937
prospective_baseline_only,curvature1,-0.07918463843775186,0.0432043274322544,-0.1638651202049705,0.00549584332946676,-1.8327941468806708,0.06683318993128388
prospective_baseline_only,fdrad1,-0.025190708640730374,0.03835858273561659,-0.1003735308025389,0.049992113521078144,-0.6567163550946417,0.511363316163214
prospective_baseline_only,ga1,0.3815647885264997,0.0437698198456347,0.29577594162905574,0.4673536354239437,8.717531620467804,2.843324201496453e-18
prospective_baseline_only,delta_ga,0.48407038513968603,0.04378554303816868,0.39825072078487544,0.5698900494944966,11.055484334583056,2.0622073491026224e-28
codevelopment_difference,Intercept,-3.163282309560865e-16,0.10484021701994391,-0.20548682535909035,0.20548682535908974,-3.017241283427627e-15,0.9999999999999976
codevelopment_difference,curvature1,-0.06993357899479632,0.04054922710070139,-0.14941006411217106,0.009542906122578396,-1.7246587418576633,0.08458899050785562
codevelopment_difference,fdrad1,-0.3629533678671323,0.05474350356101546,-0.4702506348467226,-0.255656100887542,-6.63007195844883,3.355232644474854e-11
codevelopment_difference,delta_fdrad,-0.42188571866623575,0.05083144487819697,-0.5215153506275019,-0.3222560867049697,-8.299699520191966,1.0437504235854038e-16
codevelopment_difference,ga1,0.30972895325066874,0.049188589863851016,0.21331931711752075,0.40613858938381675,6.29676423146032,3.0392300232070023e-10
codevelopment_difference,delta_ga,0.3620985792752557,0.050620824499396234,0.2628817632564391,0.4613153952940723,7.153154514098729,8.480605228752184e-13
codevelopment_rate,Intercept,-2.3383658791853545e-15,0.10391651565231863,-0.20367637067854685,0.2036763706785422,-2.250235070437699e-14,0.999999999999982
codevelopment_rate,curvature1,-0.05363291712947754,0.04140729299503763,-0.1347912113997513,0.02752537714079621,-1.2952529192358715,0.1952329947476221
codevelopment_rate,fdrad1,-0.20861600520370688,0.04580183471686136,-0.29838760124875513,-0.11884440915865861,-4.554752151160171,5.2447379363395835e-06
codevelopment_rate,rate_fdrad,-0.2797337165521858,0.040653314716844934,-0.3594142133972019,-0.20005321970716974,-6.880957149510777,5.945173432108383e-12
codevelopment_rate,ga1,0.33222907071108576,0.0478079632732015,0.2385254626956108,0.4259326787265607,6.94924125532273,3.672560328894857e-12
codevelopment_rate,delta_ga,0.4706263712647869,0.047312645871054805,0.3778935853575195,0.5633591571720543,9.947158156139167,2.594874454581987e-23
followup_fdrad_equivalent,Intercept,-6.986384307553554e-16,0.10484021572968293,-0.20548682283017922,0.20548682283017783,-6.66384007217903e-15,0.9999999999999947
followup_fdrad_equivalent,curvature1,-0.06993357876279499,0.04054922712142355,-0.14941006392078515,0.009542906395195172,-1.724658735254825,0.08458899169848776
followup_fdrad_equivalent,fdrad1,0.0037234734346230335,0.036215459725892005,-0.0672588276281253,0.07470577449737137,0.10281447378565128,0.9181102177242275
followup_fdrad_equivalent,fdrad2,-0.3115002667273399,0.03753151142368086,-0.38506202911775433,-0.2379385043369254,-8.299699503462998,1.0437505705520982e-16
followup_fdrad_equivalent,ga1,0.30972895340383044,0.04918858881151315,0.21331931933326467,0.40613858747439624,6.2967643692867,3.0392273220539233e-10
followup_fdrad_equivalent,delta_ga,0.36209857951338337,0.050620823477657784,0.2628817654971741,0.4613153935295926,7.153154663183239,8.480596014396912e-13
