region,tini_curvature,se_tini_curvature,ci_width_curvature,amplitude_curvature,k_curvature,r2_curvature,converged_curvature,tini_fdrad,se_tini_fdrad,ci_width_fdrad,amplitude_fdrad,k_fdrad,r2_fdrad,converged_fdrad,delta_tini,manuscript_tini_curvature,manuscript_tini_fdrad,manuscript_inclusion,qc_basic,qc_ciwidth_4w,qc_ciwidth_6w,qc_ciwidth_8w,qc_ciwidth_10w,qc_r2_0_1,qc_r2_0_2,qc_r2_0_3,qc_r2_0_4
Precentral_L,24.877097294050774,0.5259179373722757,2.0615983144993204,0.12949230367764172,0.3604402338270643,0.924019625152497,True,27.67186730133963,1.0218201738016233,4.005535081302363,-0.15111786521484796,0.5315900285325987,0.5400958418238098,True,-2.7947700072888573,24.8434139501039,27.6721129983367,1,True,False,True,True,True,True,True,True,True
Precentral_R,24.44691751684177,0.5781408955081087,2.2663123103917857,0.12767142684025892,0.36278765402811924,0.9216789974863432,True,27.741648611130067,1.2889560571910346,5.052707744188855,-0.14378178633483027,0.6388561524700056,0.3730768919244821,True,-3.2947310942882986,24.4249674895017,28.5551658385578,1,True,False,True,True,True,True,True,True,False
Frontal_Sup_L,29.711122625255918,0.32209349253791525,1.2626064907486279,0.11020502712402765,0.5020154756423687,0.9154458280623075,True,29.59885282080088,0.8519442373181384,3.3396214102871022,-0.13457809796755177,0.8529283394358194,0.46122243138274976,True,0.11226980445503898,29.7143355782897,29.59896970132,1,True,True,True,True,True,True,True,True,True
Frontal_Sup_R,29.191512902165236,0.38353996147417085,1.5034766489787497,0.1276611944291368,0.38710306613403744,0.9082165677502111,True,29.075736759542274,1.1705082418321624,4.588392307982076,-0.14458941852126403,0.5731670882803782,0.4177352691089534,True,0.11577614262296265,29.1776062905636,29.4389813982422,1,True,False,True,True,True,True,True,True,True
Frontal_Sup_Orb_L,30.132193718750305,1.9637153863805292,7.697764314611675,0.059417352439014345,0.32859373248862767,0.2526320764760487,True,27.326732991361194,1.5423844061244485,6.046146872007838,-0.08511477742570833,0.7117415100492788,0.25880074368499706,True,2.805460727389111,30.5005741047911,27.5693571678443,1,True,False,False,True,True,True,True,False,False
Frontal_Sup_Orb_R,31.542620951890513,0.48532449952353,1.9024720381322375,0.04355924981032616,2.961714920545423,0.5192618883675935,True,28.370287895786756,4.03930422857461,15.834072576012472,-0.07647719332210295,0.31222418929883416,0.10553123017508181,True,3.1723330561037564,31.255154659675,32.5378265061041,1,True,False,False,False,False,True,False,False,False
Frontal_Mid_L,27.819868971743087,0.3170797719783269,1.2429527061550414,0.1359398536354074,0.40810586023715517,0.9417924613635477,True,29.219438989073062,0.606701598514909,2.3782702661784434,-0.1893415222629516,1.0208374198669832,0.583022904971777,True,-1.3995700173299745,27.7989083148998,29.2186224837433,1,True,True,True,True,True,True,True,True,True
Frontal_Mid_R,27.630190084751717,0.36863024148136153,1.445030546606937,0.1482671375619775,0.3827367650219798,0.9295065463147408,True,28.48430537716544,1.2980962271427652,5.08853721039964,-0.21144148980683497,0.4686529396804569,0.4364284366790566,True,-0.8541152924137236,27.6043599495684,29.3098986927113,1,True,False,True,True,True,True,True,True,True
Frontal_Mid_Orb_L,34.05139963203045,0.6607037310390409,2.5899586256730402,0.16453591472840712,0.32311544355610583,0.6360859274208952,True,27.038759782795847,1.8875659275277485,7.3992584359087745,-0.16270125539785507,0.3868818685310678,0.3500889897863546,True,7.012639849234606,24.5098911870215,27.4903784824588,0,True,False,False,True,True,True,True,True,False
Frontal_Mid_Orb_R,32.13601213139106,0.7485144329033402,2.9341765769810935,0.10859003162386392,0.32715800385864674,0.5521107800428476,True,32.67358070350601,0.8325390649662692,3.263553134667775,-0.15668825638704573,1.6992325799131605,0.3190203651556295,True,-0.5375685721149495,23.8327286834817,33.3934476850703,0,True,True,True,True,True,True,True,True,False
