model,residual,subject,roi,objective
prospective_baseline_only,0.3860980938974044,0.017582613511579,0.32635442499562833,148.84424837926616
codevelopment_difference,0.3635920878673306,0.02634925417891123,0.2867068926810345,125.26798137776206
codevelopment_rate,0.3692048262922618,0.02285126524460039,0.28857154920146527,131.79105202767408
followup_fdrad_equivalent,0.3635920850663429,0.026349254251889446,0.28670689030200797,125.80998443382026
