Region Label,Tini_curvature,Tinit-FDrad,FDR_p_Tini-curvature,FDR_p_Tini-FDrad,FDR_p_fit_curvature,FD_p_fit_FDrad,Time within range,Significant flag,Inclusion flag
Lingual_R,29.3012537356415,27.3610904949644,<1.00E-14,<1.00E-14,5.4103724311856e-26,7.13414977526272e-14,1,1,1
Occipital_Sup_L,27.2758001839388,26.1936019365847,<1.00E-14,<1.00E-14,1.54475681588734e-42,1.04670414430177e-28,1,1,1
Occipital_Sup_R,27.6157270610675,27.9404407103507,<1.00E-14,<1.00E-14,8.73739975749142e-44,2.83066867171341e-26,1,1,1
Occipital_Mid_L,28.26747263618,26.8230408896707,<1.00E-14,<1.00E-14,2.25100137780012e-50,3.51869670298585e-25,1,1,1
Occipital_Mid_R,28.9164598270938,28.7707847273811,<1.00E-14,<1.00E-14,1.52652414983951e-51,7.86285301104047e-24,1,1,1
Occipital_Inf_L,28.8403861793,29.5995647309746,<1.00E-14,<1.00E-14,3.79276259624969e-38,2.13347569288182e-22,1,1,1
Occipital_Inf_R,28.7513516220955,29.6300598627369,<1.00E-14,<1.00E-14,1.60938291927701e-45,1.12779847662472e-19,1,1,1
Fusiform_L,28.1662339896927,29.4138313541428,<1.00E-14,<1.00E-14,5.88117440970986e-38,1.41742195665014e-10,1,1,1
Fusiform_R,28.1277318400782,33.2076195280397,<1.00E-14,<1.00E-14,2.94376703113673e-38,5.20486981911877e-05,1,1,1
Postcentral_L,23.6344720334235,26.8589537878746,<1.00E-14,<1.00E-14,4.10591739986165e-42,2.64944562643768e-16,1,1,1
Postcentral_R,23.3801140891033,27.1605953369045,<1.00E-14,<1.00E-14,9.57777464265242e-40,1.73350827169963e-12,1,1,1
Parietal_Sup_L,27.9024046921605,28.5105817796941,<1.00E-14,<1.00E-14,5.25022196984977e-51,2.29216948309725e-31,1,1,1
Parietal_Sup_R,28.3596492935111,29.1268250947112,<1.00E-14,<1.00E-14,4.72323757596314e-50,6.29645894050691e-27,1,1,1
