t,"curvature, FDrad = 0","curvature, FDrad = 0.1","curvature, FDrad = 0.5","curvature, FDrad = 1.0","diameter, FDrad = 0","diameter, FDrad = 0.1","diameter, FDrad = 0.5","diameter, FDrad = 1.0",FDrad = 0,FDrad = 0.1,FDrad = 0.5,FDrad = 1.0
0,0.5555830608154383,0.5555830596659548,0.5555830555641871,0.5555830449853332,1.8000001215911567,1.8000001253239784,1.8000001385468312,1.8000001590413042,1.0000495770217759,1.000049577026598,1.0000495769898086,1.0000495693342517
0.01,0.5553684641727104,0.5553581537616356,0.5553208744857208,0.5552793351281363,1.8006745075100254,1.8007080144069045,1.8008288904477496,1.8009637386548762,1.0000378357107944,1.0000378783447992,1.0000378742425946,1.0000379473901624
0.02,0.5551156660827435,0.5550865406286506,0.554982183555293,0.5548694685970097,1.8014729615401794,1.8015678599487752,1.8019074348349182,1.8022747511498725,1.0000258629754293,1.0000260710867268,1.0000265227491998,1.0000272334363376
0.03,0.55482333035944,0.5547667747877069,0.5545673496634226,0.5543587841311728,1.8023981452541602,1.8025828889643978,1.8032336604300276,1.8039153528048355,1.0000125415835908,1.000013095598286,1.0000145118885526,1.0000163216564442
0.04,0.5544910614488646,0.5543985159753653,0.5540786084881181,0.5537549898304883,1.8034508475824054,1.8037539046011812,1.8048005143017987,1.8058612112334016,0.9999973747468225,0.9999984878956655,1.0000013575629805,1.0000046566618257
0.05,0.5541187605383786,0.5539817932029609,0.5535188930806557,0.5530674454638812,1.8046313873002409,1.8050810166059708,1.8065991830782728,1.8080829470292028,0.9999801075594641,0.9999820184559993,0.9999867800579024,0.9999918167002472
0.06,0.5537064659055894,0.5535168411275825,0.5528917514961109,0.5523041758370003,1.8059398533404405,1.8065639010067986,1.8086190763537742,1.8105557445216167,0.9999605738311936,0.9999635437804059,0.9999705689145165,0.999977498284958
0.07,0.5532543337586694,0.5530040754769873,0.5522009649481434,0.551474727588011,1.8073760709932123,1.8082017825709702,1.8108489592354609,1.8132497537245105,0.9999386440087112,0.9999429550464998,0.9999525426651626,0.9999614139842524
0.08,0.5527626281484591,0.5524440862795131,0.5514504442903301,0.5505879318623038,1.8089395755380968,1.8099933975309872,1.8132772262057848,1.816137357314306,0.9999141939361965,0.9999201486709578,0.9999325320127174,0.9999433115415537
0.09,0.5522316979202618,0.5518376572192538,0.5506448847593252,0.5496518089153618,1.8106296953796308,1.8119369309064162,1.8158896981914974,1.819193443848326,0.99988711098434,0.9998950309804416,0.9999103735963029,0.9999229671781991
0.1,0.5516619916287306,0.5511857570083867,0.549789053096672,0.5486735568537667,1.812445469699036,1.8140300056341938,1.8186719107595888,1.8223954421010957,0.9998572775326403,0.999867501891411,0.9998859077100295,0.9999001892117009
0.11,0.5510540494968027,0.550489521777076,0.5488875825463733,0.5476596142933405,1.8143856742695372,1.8162697319476515,1.8216097749565971,1.8257231213564533,0.9998245731552153,0.9998374561580406,0.9998589857187696,0.999874820448509
0.12,0.5504084982739246,0.5497502444999315,0.5479449432458599,0.5466155840471313,1.8164488489626538,1.818652745345785,1.8246896723570363,1.8291588649882837,0.9997888831489331,0.999804791414317,0.9998294789609828,0.9998467413005585
0.13,0.5497260446261724,0.5489693602286521,0.5469654225593062,0.5455463428847552,1.818633328066768,1.8211752563344885,1.827898517180748,1.8326873275616544,0.9997501060634765,0.9997694153341956,0.9997972848452972,0.9998158692024961
0.14,0.549007486369921,0.5481484624704808,0.5459530821260578,0.544456134370671,1.8209372067409793,1.8238329911958187,1.8312238914650376,1.83629513789097,0.9997081587103303,0.9997312499269259,0.9997623276082107,0.9997821523397757
0.15,0.5482537008013073,0.5472892730769132,0.5449117285222905,0.5433486209906678,1.823358383474261,1.8266212873335879,1.8346541428754801,1.8399707385165316,0.9996629816268529,0.9996902365316147,0.9997245602348592,0.9997455634361381
0.16,0.5474656350791595,0.5463936143268674,0.5438448929017091,0.5422269317471683,1.8258945936375315,1.8295351805078053,1.8381784492346074,1.843704242994963,0.999614543293375,0.9996463398158175,0.9996839618582248,0.9997060947283944
0.17,0.5466443010741384,0.545463388643722,0.5427558205719297,0.5410937164184804,1.8285434260099998,1.832569463515216,1.8417868558476007,1.8474872703281084,0.9995628430949468,0.9995995494940174,0.9996405362641589,0.9996637531376699
0.18,0.5457907720486367,0.5445005620009032,0.54164746619547,0.5399512117888897,1.8313023331842015,1.8357187339024081,1.8454702915904169,1.851312741461748,0.9995079142830751,0.9995498822854478,0.9995943073789645,0.9996185581524824
0.19,0.5449061788464876,0.5435071467633746,0.5405224985048859,0.5388013046412792,1.8341686442642682,1.8389774445036078,1.849220558830964,1.8551746807035627,0.999449827306085,0.999497383824358,0.999545316745914,0.9995705383005481
0.2,0.5439917044571836,0.5424851795167921,0.539383313330358,0.5376455818754103,1.8371395834283861,1.8423399708074641,1.853030298332697,1.859068059973114,0.999388693314968,0.9994421297944487,0.9994936220162319,0.9995197288502351
