Cortical Curvature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Precentral.left,Precentral.right,Frontal_Sup.left,Frontal_Sup.right,Frontal_Sup_Orb.left,Frontal_Sup_Orb.right,Frontal_Mid.left,Frontal_Mid.right,Frontal_Mid_Orb.left,Frontal_Mid_Orb.right,Frontal_Inf_Oper.left,Frontal_Inf_Oper.right,Frontal_Inf_Tri.left,Frontal_Inf_Tri.right,Frontal_Inf_Orb.left,Frontal_Inf_Orb.right,Rolandic_Oper.left,Rolandic_Oper.right,Supp_Motor_Area.left,Supp_Motor_Area.right,Olfactory.left,Olfactory.right,Frontal_Sup_Medial.left,Frontal_Sup_Medial.right,Frontal_Med_Orb.left,Frontal_Med_Orb.right,Rectus.left,Rectus.right,Insula.left,Insula.right,Cingulum_Ant.left,Cingulum_Ant.right,Cingulum_Mid.left,Cingulum_Mid.right,Cingulum_Post.left,Cingulum_Post.right,ParaHippocampal.left,ParaHippocampal.right,Calcarine.left,Calcarine.right,Cuneus.left,Cuneus.right,Lingual.left,Lingual.right,Occipital_Sup.left,Occipital_Sup.right,Occipital_Mid.left,Occipital_Mid.right,Occipital_Inf.left,Occipital_Inf.right,Fusiform.left,Fusiform.right,Postcentral.left,Postcentral.right,Parietal_Sup.left,Parietal_Sup.right,Parietal_Inf.left,Parietal_Inf.right,SupraMarginal.left,SupraMarginal.right,Angular.left,Angular.right,Precuneus.left,Precuneus.right,Paracentral.leftobule.left,Paracentral.leftobule.right,Heschl.left,Heschl.right,Temporal_Sup.left,Temporal_Sup.right,Temporal_Pole_Sup.left,Temporal_Pole_Sup.right,Temporal_Mid.left,Temporal_Mid.right,Temporal_Pole_Mid.left,Temporal_Pole_Mid.right,Temporal_Inf.left,Temporal_Inf.right
23,0.0632791593670845,0.071329690515995,0.0809034705162048,0.0761041566729546,0.138356357812881,0.125039324164391,0.0595834963023663,0.0655820220708847,0.122211560606956,0.102863781154156,0.0719273909926415,0.0717986151576042,0.0769740343093872,0.0633711293339729,0.059212751686573,0.062625102698803,0.0676470696926117,0.0663771778345108,0.078568808734417,0.0838712677359581,0.187860488891602,0.249586969614029,0.10131824016571,0.095129705965519,0.0685178115963936,0.0453704968094826,0.138742372393608,0.144284665584564,0.0542091205716133,0.0674652457237244,0.225590839982033,0.295669555664063,0.125026479363441,0.359547734260559,0.08746337890625,0.464082390069962,0.120929144322872,0.141787812113762,0.124107696115971,0.131274819374084,0.087397426366806,0.106488235294819,0.10300274938345,0.110345423221588,0.0683462768793106,0.0686576887965202,0.0724009647965431,0.0726328268647194,0.0887458398938179,0.087012954056263,0.0598000176250935,0.0631184577941895,0.0660295560956001,0.0686814188957214,0.0607413165271282,0.0618322864174843,0.0609446987509728,0.0549008175730705,0.0563431903719902,0.0537748821079731,0.0502662658691406,0.0489947758615017,0.0780572444200516,0.0785239115357399,0.0807195529341698,0.0929455235600472,0.0857262015342712,0.0904019325971603,0.0650030300021172,0.0724294409155846,0.0969185680150986,0.0960236638784409,0.0651794075965881,0.0580385997891426,0.131091237068176,0.130341336131096,0.0877746790647507,0.088669016957283
24,0.0493200197815895,0.0490950904786587,0.0683755204081535,0.0678523406386375,0.131995484232903,0.120486028492451,0.0571339875459671,0.054391723126173,0.109407894313335,0.0959847867488861,0.087238185107708,0.0895886048674583,0.0886031985282898,0.0935196280479431,0.0738543197512627,0.0681954547762871,0.0992088317871094,0.102102190256119,0.0784013345837593,0.0714806765317917,0.164519488811493,0.193362891674042,0.097796805202961,0.0961229875683785,0.0588459633290768,0.0528690367937088,0.131346821784973,0.127158865332603,0.0629036128520966,0.072855569422245,0.263063102960587,0.230560556054115,0.179750934243202,0.276725023984909,0.193187177181244,0.206248551607132,0.119991227984428,0.125925779342651,0.114056058228016,0.122029215097427,0.098512627184391,0.101811856031418,0.105911552906036,0.11439686268568,0.0605830475687981,0.0665712505578995,0.0732127204537392,0.0788237750530243,0.0869540572166443,0.0852952152490616,0.055408239364624,0.0537352487444878,0.0806687921285629,0.0697096064686775,0.0609596632421017,0.058234415948391,0.0395111590623856,0.0475939400494099,0.0915895104408264,0.0813400149345398,0.0489613488316536,0.0461825802922249,0.0823611244559288,0.0797172039747238,0.0968359485268593,0.0969465523958206,0.0972665250301361,0.102090328931808,0.0768114551901817,0.0879901796579361,0.0985079109668732,0.0909007787704468,0.0611257515847683,0.055044386535883,0.136493280529976,0.128981351852417,0.0796671137213707,0.087953120470047
25,0.053010031580925,0.0652268677949905,0.0684617683291435,0.0661840438842773,0.105699047446251,0.1196543648839,0.0527392812073231,0.0460875891149044,0.0956492274999619,0.0911016762256622,0.0797843560576439,0.086587980389595,0.0923260301351547,0.0917950198054314,0.0807785540819168,0.0713952034711838,0.103548593819141,0.0888588801026344,0.0823247209191322,0.0796781629323959,0.221534073352814,0.305790930986404,0.0981110855937004,0.0928438976407051,0.0616156607866287,0.0231417436152697,0.141773581504822,0.130768954753876,0.0644501894712448,0.0735645890235901,0.156240060925484,0.171712011098862,0.123728379607201,0.181082025170326,0.21331562101841,0.178415894508362,0.117120876908302,0.113701723515987,0.129600659012795,0.129647374153137,0.0959894359111786,0.105084247887135,0.113404512405396,0.117252349853516,0.0350033305585384,0.0596611946821213,0.0820838212966919,0.07877416908741,0.0696900188922882,0.084212951362133,0.0523982234299183,0.057233389467001,0.0715155899524689,0.0716526508331299,0.0518935509026051,0.0539983175694943,0.0587627775967121,0.0519736036658287,0.0854805260896683,0.0876390337944031,0.0542292445898056,0.0502926409244537,0.0793195515871048,0.0799106881022453,0.0968106165528297,0.091716080904007,0.0952619388699532,0.106780111789703,0.0875582918524742,0.0915676280856133,0.104876108467579,0.0937493145465851,0.0576048865914345,0.0516628213226795,0.157636150717735,0.153220891952515,0.0846349969506264,0.0881045162677765
26,0.08263348788023,0.0878845825791359,0.0584438815712929,0.0496011599898338,0.116865687072277,0.123314492404461,0.0494648143649101,0.049794152379036,0.0927304178476334,0.082085020840168,0.0923089012503624,0.104721881449223,0.101670943200588,0.102487273514271,0.0845639035105705,0.0880376324057579,0.106266468763351,0.104369878768921,0.0863703191280365,0.0871856808662415,0.277112066745758,0.126928761601448,0.0956681296229363,0.0962422490119934,0.0383964516222477,0.0318047553300858,0.13169276714325,0.125744923949242,0.0871476903557777,0.0863300040364265,0.161043465137482,0.162413790822029,0.138718768954277,0.167497664690018,0.165394902229309,0.182722985744476,0.124917604029179,0.111052870750427,0.133840411901474,0.141726389527321,0.10176844894886,0.106415554881096,0.1167072057724,0.120310410857201,0.047887559980154,0.0560086332261562,0.0616256184875965,0.0620280131697655,0.0810759291052818,0.0726475715637207,0.0544579848647118,0.0589065700769424,0.10443801432848,0.105972193181515,0.0458066798746586,0.0545609220862389,0.0551661364734173,0.046027697622776,0.0995375066995621,0.101318225264549,0.0523408688604832,0.0523315817117691,0.0816656723618507,0.0901535823941231,0.112042739987373,0.114877082407475,0.109543032944202,0.119840666651726,0.0916585400700569,0.118521124124527,0.120842278003693,0.112416125833988,0.0585250407457352,0.0588165894150734,0.168100088834763,0.145861029624939,0.0756020396947861,0.0816978514194489
27,0.0906811356544495,0.112198866903782,0.0539259761571884,0.0512110702693462,0.0987102687358856,0.111185155808926,0.0509982742369175,0.0542304143309593,0.0818485915660858,0.0780837759375572,0.0886707007884979,0.104014225304127,0.106241747736931,0.0967450141906738,0.0884954258799553,0.0880261436104775,0.11065711826086,0.109473332762718,0.0883096605539322,0.0846650823950768,0.125906854867935,0.132407829165459,0.102041259407997,0.0948530286550522,0.056073110550642,0.0392902158200741,0.128197878599167,0.11955925822258,0.0868131890892983,0.0931661874055862,0.164507240056992,0.176067143678665,0.141649559140205,0.146022528409958,0.155213192105293,0.16945044696331,0.116170696914196,0.117622889578342,0.135405957698822,0.136576846241951,0.103771604597569,0.108136132359505,0.118717327713966,0.122000098228455,0.0559864640235901,0.0658677518367767,0.0643954947590828,0.0705497711896896,0.0704338178038597,0.0697614848613739,0.0579595007002354,0.0604044236242771,0.125346183776855,0.12478282302618,0.0383535958826542,0.0444882772862911,0.062598392367363,0.0529972426593304,0.0946339219808579,0.104573652148247,0.0617121607065201,0.057060394436121,0.0930457711219788,0.087962694466114,0.121637366712093,0.115940406918526,0.124289751052856,0.113153234124184,0.100223168730736,0.118857674300671,0.122437834739685,0.119211487472057,0.060879148542881,0.0664039701223373,0.150018140673637,0.147376731038094,0.0703121945261955,0.0735261738300324
28,0.100563034415245,0.127182930707932,0.0524334125220776,0.0525262579321861,0.103174768388271,0.117726802825928,0.0524725615978241,0.0530605837702751,0.0836251452565193,0.0831427946686745,0.0934849977493286,0.104013204574585,0.106837347149849,0.118818536400795,0.106245338916779,0.100069649517536,0.130807921290398,0.130349859595299,0.0975071787834168,0.098048247396946,0.219119995832443,0.142592519521713,0.0977769419550896,0.0999806672334671,0.0493238717317581,0.0357306115329266,0.12477408349514,0.12428393214941,0.0898122116923332,0.0950680673122406,0.16699980199337,0.156473636627197,0.142507150769234,0.164594531059265,0.150793597102165,0.176454901695251,0.114453114569187,0.113130487501621,0.16271984577179,0.157876819372177,0.116692386567593,0.100646965205669,0.122000053524971,0.130928859114647,0.0594390407204628,0.0748876556754112,0.0611503124237061,0.062385831028223,0.0718823224306107,0.0682554617524147,0.0613715797662735,0.0648216977715492,0.146220117807388,0.147903457283974,0.0471693277359009,0.0633395910263062,0.0704937130212784,0.0641898661851883,0.108535885810852,0.102157488465309,0.0790082439780235,0.0644192099571228,0.0933103039860725,0.111710920929909,0.147052779793739,0.132185831665993,0.123147919774055,0.115031808614731,0.106713622808456,0.13045397400856,0.132116928696632,0.123795486986637,0.0641173645853996,0.0763709619641304,0.161445289850235,0.150760635733604,0.0740537866950035,0.0741950273513794
29,0.118990264832973,0.13647498190403,0.0389952845871449,0.0563791580498219,0.10527665168047,0.106441974639893,0.0597074367105961,0.0681051537394524,0.0738407969474793,0.0796032473444939,0.115144267678261,0.113110437989235,0.108245275914669,0.140962839126587,0.111763253808022,0.112344063818455,0.131423637270927,0.132225781679153,0.0993391945958138,0.0988853201270104,0.298897385597229,0.115082666277885,0.10605551302433,0.107947319746017,0.0460759550333023,0.0374778211116791,0.146361500024796,0.129018172621727,0.0868760198354721,0.0910612195730209,0.259320944547653,0.173700779676437,0.162290617823601,0.151791453361511,0.193291783332825,0.161583662033081,0.128610923886299,0.112861849367619,0.174031868577003,0.17227540910244,0.119892247021198,0.100549966096878,0.125058129429817,0.131273671984673,0.0917201191186905,0.0999213457107544,0.08473040163517,0.0696267262101173,0.0824625045061112,0.0815712511539459,0.0693614035844803,0.0660010948777199,0.152395188808441,0.153605356812477,0.0738272592425346,0.0727618485689163,0.0765221416950226,0.0762663781642914,0.0889012366533279,0.102121703326702,0.0805258229374886,0.0702217444777489,0.10093405097723,0.102871768176556,0.175558507442474,0.153231635689735,0.137995302677155,0.118749834597111,0.1185048148036,0.13827258348465,0.138468071818352,0.142185807228088,0.0624451413750649,0.0880894511938095,0.151527985930443,0.14248663187027,0.0690683275461197,0.0763154923915863
30,0.14005808532238,0.142532855272293,0.046727079898119,0.0525812581181526,0.114776864647865,0.117739640176296,0.0752796158194542,0.0861134007573128,0.076044075191021,0.0749047547578812,0.106219530105591,0.111456282436848,0.122199051082134,0.130671441555023,0.12570708990097,0.118958294391632,0.124766074120998,0.121374689042568,0.0991155430674553,0.103527538478374,0.222342908382416,0.105053789913654,0.105260968208313,0.111223429441452,0.05459263920784,0.0530331060290337,0.139943689107895,0.129806265234947,0.0939309000968933,0.0963232144713402,0.160073950886726,0.156912058591843,0.174139231443405,0.173485234379768,0.170446589589119,0.179151251912117,0.131830960512161,0.125681594014168,0.159223452210426,0.167454689741135,0.125065252184868,0.107403248548508,0.134617790579796,0.131583288311958,0.0939908251166344,0.106756955385208,0.102936990559101,0.0821316987276077,0.081052377820015,0.0833988189697266,0.0846868753433228,0.0796753242611885,0.15788796544075,0.159027010202408,0.113943755626678,0.0804959163069725,0.0967021882534027,0.0983912944793701,0.124483615159988,0.140170484781265,0.113362118601799,0.0922401919960976,0.114078752696514,0.115895695984364,0.164613589644432,0.164975732564926,0.135181531310081,0.122605293989182,0.144134819507599,0.143376722931862,0.140223026275635,0.142234787344933,0.096487782895565,0.0940634831786156,0.164210572838783,0.146710470318794,0.0688885077834129,0.0692099705338478
31,0.145172253251076,0.151318773627281,0.0529942251741886,0.0660373643040657,0.110098823904991,0.10452576726675,0.0894901901483536,0.0967409163713455,0.0772412121295929,0.0730387270450592,0.0981010049581528,0.11375717073679,0.128097876906395,0.144190907478333,0.126185715198517,0.123041920363903,0.125281006097794,0.11792366206646,0.108331918716431,0.110569179058075,0.253503680229187,0.121784076094627,0.107546575367451,0.11327750235796,0.0650359690189362,0.0814852192997932,0.138899907469749,0.13753317296505,0.0954908058047295,0.0995441675186157,0.200014397501946,0.189917758107185,0.164031937718391,0.171376749873161,0.170286133885384,0.150635078549385,0.133257463574409,0.12128408998251,0.219649329781532,0.193708643317223,0.127319291234016,0.110673181712627,0.151186496019363,0.14325538277626,0.117145337164402,0.10852312296629,0.0996885001659393,0.0928364396095276,0.110710322856903,0.118562906980515,0.081399992108345,0.0797097384929657,0.17149119079113,0.176191806793213,0.10380644351244,0.105645000934601,0.095109298825264,0.108184851706028,0.130583137273788,0.135393708944321,0.118802793323994,0.113433852791786,0.129704460501671,0.13169139623642,0.178349167108536,0.179646387696266,0.140668079257011,0.115009672939777,0.1590855717659,0.141683369874954,0.150717303156853,0.15269935131073,0.10980773717165,0.113041438162327,0.146209985017777,0.140871837735176,0.081979863345623,0.0773008391261101
32,0.150558307766914,0.153482913970947,0.100766733288765,0.0947428941726685,0.133947342634201,0.133235082030296,0.133793249726295,0.126523479819298,0.078559011220932,0.0772882699966431,0.135827645659447,0.142270997166634,0.127254784107208,0.172462835907936,0.129044458270073,0.136275738477707,0.123886488378048,0.133885085582733,0.104494690895081,0.118368081748486,0.238689467310905,0.136087626218796,0.108450882136822,0.116850078105927,0.0697469785809517,0.0763359591364861,0.15318001806736,0.143761187791824,0.0976315438747406,0.109087094664574,0.194533690810204,0.188420057296753,0.178570777177811,0.180183172225952,0.186559185385704,0.195204317569733,0.139156743884087,0.122820630669594,0.177520394325256,0.179439455270767,0.120805367827415,0.118685185909271,0.15216326713562,0.154514089226723,0.163388773798943,0.139385029673576,0.136879339814186,0.142427489161491,0.13663937151432,0.135924607515335,0.118885852396488,0.119670018553734,0.171844258904457,0.187751948833466,0.157637193799019,0.152494996786118,0.146436467766762,0.152336895465851,0.15472511947155,0.160146981477737,0.144826635718346,0.156528472900391,0.136513456702232,0.136038675904274,0.215304642915726,0.192885741591454,0.149008750915527,0.134238854050636,0.150792673230171,0.151030421257019,0.154321312904358,0.156198084354401,0.144421741366386,0.133958667516708,0.144604459404945,0.134535118937492,0.106079086661339,0.104757100343704
